Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Capitol Hill,38.88594000000006,-76.99952999999994,Gutenberg Bible,38.886746,-77.004693,Exhibit
Capitol Hill,38.88594000000006,-76.99952999999994,Subway,38.88680692775415,-77.00472757625113,Sandwich Place
Capitol Hill,38.88594000000006,-76.99952999999994,Boxcar Tavern,38.8865596213092,-76.99595865018655,Gastropub
Capitol Hill,38.88594000000006,-76.99952999999994,Migue's Mini Donuts,38.886992,-76.99701,Donut Shop
Capitol Hill,38.88594000000006,-76.99952999999994,Eastern Market Pottery,38.886596000000004,-76.99648,Arts & Crafts Store
Capitol Hill,38.88594000000006,-76.99952999999994,Blue Iris Flowers,38.886596000000004,-76.99648,Flower Shop
Capitol Hill,38.88594000000006,-76.99952999999994,Southern Maryland Seafood,38.88673261904426,-76.99640056492667,Fish Market
Capitol Hill,38.88594000000006,-76.99952999999994,Turtle Park,38.887425859367404,-76.9964298544553,Playground
Capitol Hill,38.88594000000006,-76.99952999999994,Top Chef Tour,38.88720581,-76.99619342,Restaurant
Capitol Hill,38.88594000000006,-76.99952999999994,eastern market grocery,38.88654910407315,-76.99505068974017,Grocery Store
Dupont Park,38.87288000000007,-76.96016999999995,7-Eleven,38.8697888,-76.9597765,Convenience Store
Dupont Park,38.87288000000007,-76.96016999999995,Planet Fitness,38.86974026681357,-76.96011594820258,Gym / Fitness Center
Dupont Park,38.87288000000007,-76.96016999999995,T-Mobile,38.86975,-76.959779,Mobile Phone Shop
Dupont Park,38.87288000000007,-76.96016999999995,Wells Fargo,38.869971333669945,-76.96021020412445,Bank
Dupont Park,38.87288000000007,-76.96016999999995,Subway Sandwich Shop,38.8698325,-76.96015159999997,Sandwich Place
Dupont Park,38.87288000000007,-76.96016999999995,CVS pharmacy,38.87205530815296,-76.96096493802189,Pharmacy
Dupont Park,38.87288000000007,-76.96016999999995,Penn branch Liquors,38.87203278842245,-76.96106406543541,Liquor Store
Dupont Park,38.87288000000007,-76.96016999999995,Patron,38.872091790467394,-76.96088578856344,Convenience Store
Dupont Park,38.87288000000007,-76.96016999999995,Super Star Carryout,38.87205524678369,-76.96092652074688,Restaurant
Dupont Park,38.87288000000007,-76.96016999999995,Pennsylania & 31,38.87011738923084,-76.96218223314959,Intersection
Dupont Park,38.87288000000007,-76.96016999999995,Branch Ave & Pennsylvania Ave SE,38.869247,-76.960394,Intersection
Dupont Park,38.87288000000007,-76.96016999999995,Capital Bikeshare - Branch & Pennsylvania Ave SE,38.86922069722613,-76.95960198759389,Bike Rental / Bike Share
Dupont Park,38.87288000000007,-76.96016999999995,Spincycle Coin Laundry,38.869147999999996,-76.958915,Laundromat
Twining,38.87336000000005,-76.96475999999996,Wah Sing Restaurant,38.87340597788898,-76.97029274808017,Chinese Restaurant
Twining,38.87336000000005,-76.96475999999996,Moruss Seafood & Crabs,38.872926781203496,-76.9662497845158,Seafood Restaurant
Twining,38.87336000000005,-76.96475999999996,CVS pharmacy,38.87205530815296,-76.96096493802189,Pharmacy
Twining,38.87336000000005,-76.96475999999996,Oconnor's Liquor,38.876224517822266,-76.96585083007812,Liquor Store
Twining,38.87336000000005,-76.96475999999996,Penn branch Liquors,38.87203278842245,-76.96106406543541,Liquor Store
Twining,38.87336000000005,-76.96475999999996,Super Star Carryout,38.87205524678369,-76.96092652074688,Restaurant
Twining,38.87336000000005,-76.96475999999996,Patron,38.872091790467394,-76.96088578856344,Convenience Store
Twining,38.87336000000005,-76.96475999999996,Pennsylania & 31,38.87011738923084,-76.96218223314959,Intersection
Randle Highlands,38.87054000000006,-76.96894999999995,Wah Sing Restaurant,38.87340597788898,-76.97029274808017,Chinese Restaurant
Randle Highlands,38.87054000000006,-76.96894999999995,Mario's House Pizza,38.873036608201744,-76.97100767327109,Pizza Place
Randle Highlands,38.87054000000006,-76.96894999999995,Thai Orchid's Kitchen,38.87426395119898,-76.97175386033274,Thai Restaurant
Randle Highlands,38.87054000000006,-76.96894999999995,Moruss Seafood & Crabs,38.872926781203496,-76.9662497845158,Seafood Restaurant
Randle Highlands,38.87054000000006,-76.96894999999995,L'Enfant Square,38.87389512839648,-76.97070837020873,Plaza
Randle Highlands,38.87054000000006,-76.96894999999995,Shell,38.873001580204246,-76.97191487554815,Gas Station
Randle Highlands,38.87054000000006,-76.96894999999995,Olivia's Cupcakes,38.8728,-76.972657,Cupcake Shop
Randle Highlands,38.87054000000006,-76.96894999999995,Minnesota liquors,38.871885,-76.973412,Liquor Store
Randle Highlands,38.87054000000006,-76.96894999999995,Minnesota Market,38.871731,-76.973701,Deli / Bodega
Randle Highlands,38.87054000000006,-76.96894999999995,Scott's Beauty & Barber Supply,38.874207,-76.971412,Cosmetics Shop
Randle Highlands,38.87054000000006,-76.96894999999995,"WMATA bus stop #1000483 32, 34, 36, 39, B2",38.874122619628906,-76.97161102294922,Bus Stop
Randle Highlands,38.87054000000006,-76.96894999999995,Lees Brunch & Carryout,38.871794661180665,-76.9740596918643,Sandwich Place
Fairlawn,38.86944000000005,-76.97782999999998,Lees Brunch & Carryout,38.871794661180665,-76.9740596918643,Sandwich Place
Fairlawn,38.86944000000005,-76.97782999999998,Minnesota Market,38.871731,-76.973701,Deli / Bodega
Fairlawn,38.86944000000005,-76.97782999999998,New York fried Chicken,38.86547451731332,-76.97905352793255,Fried Chicken Joint
Fairlawn,38.86944000000005,-76.97782999999998,Minnesota liquors,38.871885,-76.973412,Liquor Store
Fairlawn,38.86944000000005,-76.97782999999998,Minnesota Liquor,38.87186,-76.973182,Liquor Store
Penn Branch,38.87044000000003,-76.95426999999995,7-Eleven,38.8697888,-76.9597765,Convenience Store
Penn Branch,38.87044000000003,-76.95426999999995,T-Mobile,38.86975,-76.959779,Mobile Phone Shop
Penn Branch,38.87044000000003,-76.95426999999995,The Motor Yacht Pelican,38.869115,-76.952961,Boat or Ferry
Penn Branch,38.87044000000003,-76.95426999999995,Spincycle Coin Laundry,38.869147999999996,-76.958915,Laundromat
Penn Branch,38.87044000000003,-76.95426999999995,Capital Bikeshare - Branch & Pennsylvania Ave SE,38.86922069722613,-76.95960198759389,Bike Rental / Bike Share
Barry Farm,38.859140000000025,-76.99529999999999,Barry Farms Rec Center Courts,38.8614090206916,-76.99679990012869,Basketball Court
Barry Farm,38.859140000000025,-76.99529999999999,"Anacostia Station Bus Bay M (W6,W8)",38.861962535678074,-76.99604059967629,Bus Stop
Barry Farm,38.859140000000025,-76.99529999999999,WMATA Bus Stop #1003273 (P6),38.86211084754433,-76.99517442892312,Bus Stop
Barry Farm,38.859140000000025,-76.99529999999999,Zipcar Anacostia Metro Kiss & Ride Parking Garage,38.862195,-76.995223,Rental Car Location
Barry Farm,38.859140000000025,-76.99529999999999,Martin Luther King Ave Grocery,38.862118,-76.992719,Convenience Store
Barry Farm,38.859140000000025,-76.99529999999999,King City Carryout,38.862838,-76.9926,Chinese Restaurant
Barry Farm,38.859140000000025,-76.99529999999999,Anacostia Metro Station,38.86339322376554,-76.99562423649732,Metro Station
Historic Anacostia,38.863330000000076,-76.98267999999996,Frederick Douglass National Historic Site (NHS),38.863734808994685,-76.9844176977878,History Museum
Historic Anacostia,38.863330000000076,-76.98267999999996,Tony's Place,38.86682372765395,-76.98496860759822,American Restaurant
Historic Anacostia,38.863330000000076,-76.98267999999996,7-Eleven,38.866486,-76.984861,Convenience Store
Historic Anacostia,38.863330000000076,-76.98267999999996,Subway,38.8667785,-76.9846449,Sandwich Place
Historic Anacostia,38.863330000000076,-76.98267999999996,Paramount market,38.863469,-76.982465,Grocery Store
Columbia Heights,38.92525000000006,-77.02969999999993,View of The City @ Cardozo,38.92259581604953,-77.0300244849429,Scenic Lookout
Columbia Heights,38.92525000000006,-77.02969999999993,Napoli Pasta Bar,38.925752,-77.02555500000003,Italian Restaurant
Columbia Heights,38.92525000000006,-77.02969999999993,CentroNía,38.927408843362095,-77.03318540196805,College Administrative Building
Columbia Heights,38.92525000000006,-77.02969999999993,Cardozo High School Soccer Field,38.92276043225064,-77.03112399577684,Soccer Field
Columbia Heights,38.92525000000006,-77.02969999999993,Elevate Interval Fitness,38.92125657230372,-77.03191020276013,Gym / Fitness Center
Columbia Heights,38.92525000000006,-77.02969999999993,Sonya's Market,38.92671380711425,-77.02696318454659,Deli / Bodega
Columbia Heights,38.92525000000006,-77.02969999999993,Wawa,38.92846842408605,-77.03289387794996,Convenience Store
Columbia Heights,38.92525000000006,-77.02969999999993,Columbia Heights Youth Center,38.925185703342976,-77.03484179946588,Gym
Columbia Heights,38.92525000000006,-77.02969999999993,Baskin-Robbins,38.92545198946494,-77.03240294376398,Ice Cream Shop
Columbia Heights,38.92525000000006,-77.02969999999993,studio 1469,38.926834758778526,-77.03477725277794,Art Gallery
Columbia Heights,38.92525000000006,-77.02969999999993,Tynan Coffee & Tea,38.92870725741015,-77.03336532736314,Coffee Shop
Columbia Heights,38.92525000000006,-77.02969999999993,Girard Street Park,38.925157634951226,-77.03132793988387,Park
Columbia Heights,38.92525000000006,-77.02969999999993,Panda Express,38.928793227831385,-77.03296351341508,Chinese Restaurant
Columbia Heights,38.92525000000006,-77.02969999999993,The Gym at Highland Park,38.92835631385272,-77.0335073274189,Gym
Columbia Heights,38.92525000000006,-77.02969999999993,7-Eleven,38.9276954469366,-77.0326855033636,Convenience Store
Columbia Heights,38.92525000000006,-77.02969999999993,Domino's Pizza,38.925187731077415,-77.03194776180679,Pizza Place
Columbia Heights,38.92525000000006,-77.02969999999993,Uptown Mart,38.925076,-77.031904,Convenience Store
Columbia Heights,38.92525000000006,-77.02969999999993,Pho Viet,38.92457452941187,-77.0271977149576,Vietnamese Restaurant
Columbia Heights,38.92525000000006,-77.02969999999993,Columbia Heights Neighborhood Dog Walk,38.926901760387054,-77.02794365374181,Dog Run
Columbia Heights,38.92525000000006,-77.02969999999993,Columbia Heights Heritage Trail Marker #13,38.92279133451042,-77.03110641051423,Scenic Lookout
